Added,Total Time,Time Taken
0,0.000006,0.000007
1000,0.002358,0.002318
2000,0.007879,0.005518
3000,0.016762,0.008880
4000,0.030074,0.013309
5000,0.046829,0.016753
6000,0.066995,0.020165
7000,0.090342,0.023345
8000,0.117035,0.026692
9000,0.147230,0.030193
10000,0.180554,0.033319
11000,0.216821,0.036259
12000,0.256296,0.039472
13000,0.299199,0.042900
14000,0.345362,0.046160
15000,0.394569,0.049205
16000,0.447042,0.052471
17000,0.502874,0.055829
18000,0.561679,0.058801
19000,0.623749,0.062067
20000,0.688831,0.065081
21000,0.757154,0.068321
22000,0.828829,0.071673
23000,0.903687,0.074854
24000,0.981721,0.078031
25000,1.063053,0.081329
26000,1.147798,0.084743
27000,1.236642,0.088837
28000,1.327718,0.091069
29000,1.421857,0.094132
30000,1.519276,0.097416
31000,1.619929,0.100648
32000,1.723846,0.103913
33000,1.831207,0.107356
34000,1.941092,0.109880
35000,2.054171,0.113073
36000,2.170759,0.116583
37000,2.290927,0.120162
38000,2.413933,0.122997
39000,2.540055,0.126117
40000,2.669440,0.129381
41000,2.813057,0.143611
42000,2.949022,0.135958
43000,3.088477,0.139450
44000,3.231423,0.142943
45000,3.377044,0.145614
46000,3.525770,0.148718
47000,3.677789,0.152016
48000,3.833149,0.155355
49000,3.992041,0.158888
50000,4.153178,0.161131
51000,4.322241,0.169056
52000,4.499460,0.177210
53000,4.704990,0.205521
54000,4.883900,0.178882
55000,5.063222,0.179315
56000,5.246046,0.182817
57000,5.431343,0.185290
58000,5.620013,0.188663
59000,5.814216,0.194195
60000,6.011914,0.197689
61000,6.210973,0.199051
62000,6.412555,0.201574
63000,6.617370,0.204808
64000,6.825483,0.208106
65000,7.037696,0.212204
66000,7.255217,0.217514
67000,7.475354,0.220130
68000,7.700877,0.225516
69000,7.929840,0.228955
70000,8.162175,0.232326
71000,8.399017,0.236835
72000,8.638493,0.239467
73000,8.884338,0.245836
74000,9.141521,0.257174
75000,9.397350,0.255821
76000,9.658257,0.260897
77000,9.924307,0.266042
78000,10.200092,0.275776
79000,10.480956,0.280856
80000,10.798332,0.317364
81000,11.165643,0.367302
82000,11.548323,0.382671
83000,11.866898,0.318565
84000,12.198948,0.332040
85000,12.526085,0.327128
86000,12.857772,0.331678
87000,13.196547,0.338766
88000,13.537252,0.340696
89000,13.883345,0.346084
90000,14.242731,0.359377
91000,14.616882,0.374142
92000,15.018810,0.401919
93000,15.396765,0.377946
94000,15.775081,0.378307
95000,16.164985,0.389895
96000,16.574708,0.409713
97000,16.994512,0.419794
98000,17.427288,0.432765
99000,17.866663,0.439365
100000,18.321987,0.455314
101000,18.779538,0.457544
102000,19.243505,0.463957
103000,19.721515,0.478001
104000,20.200508,0.478984
105000,20.696049,0.495530
106000,21.200267,0.504208
107000,21.708118,0.507842
108000,22.222300,0.514173
109000,22.736080,0.513771
110000,23.258394,0.522304
111000,23.780057,0.521654
112000,24.305003,0.524936
113000,24.843902,0.538889
114000,25.453500,0.609589
115000,26.043697,0.590186
116000,26.605368,0.561661
117000,27.199722,0.594344
118000,27.780065,0.580332
119000,28.355986,0.575913
120000,28.922153,0.566156
121000,29.505783,0.583620
122000,30.118968,0.613174
